,COUNTY,FIPS,Overall Vulnerability,Housing Type and Transportation,Socioencomic Status,Household Composition and Disability ,Minority Status and Language,Greenness,Smoke,LST-Max,LST-Mean,Popultatuion
0,Ada,16001000100,0.63,0.8422,0.67,0.1863,0.6272,28.568570845118916,,39.63000000000005,37.9263916673556,2624.0
1,Ada,16001000200,0.125,0.3942,0.028,0.0752,0.3799,15.193207662695366,,43.910000000000025,40.77859627629898,5785.0
2,Ada,16001000301,0.136,0.3261,0.025,0.0716,0.491,73.18384350750831,,43.110000000000014,38.90927118546959,5647.0
3,Ada,16001000302,0.756,0.8637,0.344,0.9032,0.5949,81.20709101760575,,38.81,38.349015288935,2299.0
4,Ada,16001000400,0.738,0.9247,0.616,0.4121,0.6953,60.52640234547074,,38.21000000000004,36.942342544410586,4200.0
5,Ada,16001000500,0.179,0.1362,0.315,0.2688,0.4265,89.69858306727868,,38.73000000000002,37.3291516193752,3869.0
6,Ada,16001000600,0.143,0.344,0.111,0.0465,0.448,92.02561441571603,,39.75000000000006,37.5835728371774,3614.0
7,Ada,16001000700,0.189,0.5304,0.078,0.0573,0.5017,31.38228595723921,,42.83000000000004,39.78597867311605,5112.0
8,Ada,16001000801,0.215,0.5806,0.129,0.0609,0.4802,71.8279118919167,,39.33000000000004,37.58140051367276,5840.0
9,Ada,16001000802,0.197,0.2473,0.068,0.2974,0.5698,69.99581951551721,,38.29000000000002,37.72746833847904,3574.0
10,Ada,16001000803,0.053,0.0465,0.1,0.1326,0.3655,64.8785036897093,,39.370000000000005,38.22042483907614,2929.0
11,Ada,16001000900,0.594,0.9318,0.541,0.0537,0.7025,46.16452667408078,,37.63000000000005,37.12324186855846,3604.0
12,Ada,16001001000,0.681,0.9426,0.247,0.5448,0.724,75.15693393893883,,38.09000000000003,37.65096204344714,3959.0
13,Ada,16001001100,0.949,0.9605,0.738,0.81,0.9211,31.18366371089978,,38.450000000000045,37.25348077108132,2725.0
14,Ada,16001001201,0.06,0.0609,0.0,0.2329,0.3799,88.35133357204121,,38.610000000000014,38.133102451911206,2208.0
15,Ada,16001001202,0.82,0.9175,0.383,0.8243,0.7347,49.62154410007169,,39.870000000000005,38.68506633044627,4259.0
16,Ada,16001001400,0.774,0.8243,0.304,0.8781,0.7311,59.11044749544219,,39.73000000000002,38.22554267223947,3480.0
17,Ada,16001001500,0.315,0.1899,0.057,0.6881,0.5949,68.34124775502787,,37.51000000000005,36.93718651653962,2291.0
18,Ada,16001001600,0.229,0.5232,0.279,0.2365,0.2616,52.53406699067159,,40.410000000000025,38.05417236355493,2846.0
19,Ada,16001001700,0.734,0.7526,0.48,0.5878,0.8136,63.08517746452087,,37.81,37.02135200553249,3651.0
20,Ada,16001001800,0.43,0.4444,0.089,0.6272,0.6774,61.54265815602052,,40.410000000000025,38.479353058932666,2927.0
21,Ada,16001001900,0.232,0.1254,0.021,0.663,0.4946,54.49821093883116,,40.51000000000005,39.30258075967347,3257.0
22,Ada,16001002000,0.946,0.9749,0.831,0.7741,0.8458,21.021602175380515,,40.51000000000005,39.28375712612262,3860.0
23,Ada,16001002100,0.093,0.1003,0.093,0.4946,0.0681,5.9559948215059775,,46.77000000000004,42.36431450970274,1262.0
24,Ada,16001002201,0.039,0.0573,0.003,0.1003,0.4157,52.36294378801097,,40.29000000000002,39.286180044066825,6529.0
25,Ada,16001002221,0.025,0.0716,0.014,0.1254,0.3297,72.06261449982682,,38.950000000000045,38.17864885836779,5518.0
26,Ada,16001002222,0.0,0.0071,0.039,0.1182,0.0,73.44822400996748,,37.870000000000005,37.365661328486624,3218.0
27,Ada,16001002302,0.666,0.9462,0.362,0.5017,0.6379,36.023876144799225,,40.53000000000003,39.53706436229995,5081.0
28,Ada,16001002310,0.318,0.4014,0.146,0.2831,0.7025,43.978309232695786,,40.47000000000003,39.6349358251437,6168.0
29,Ada,16001002311,0.329,0.3799,0.164,0.4229,0.577,49.046655483084784,,40.53000000000003,39.74912862284524,6105.0
30,Ada,16001002410,0.017,0.0788,0.017,0.086,0.3189,70.6276898082571,,38.59000000000003,37.99468073314601,4619.0
31,Ada,16001002411,0.132,0.0824,0.053,0.3512,0.4265,67.15571359585584,,38.59000000000003,38.40178211799691,3448.0
32,Ada,16001002412,0.67,0.4623,0.465,0.8387,0.6845,60.04470210519776,,37.910000000000025,35.694578385899824,2197.0
33,Ada,16001002413,0.139,0.1397,0.086,0.2795,0.4265,69.60717038477043,,39.93000000000001,38.04315060711501,5568.0
34,Ada,16001010100,0.035,0.2078,0.096,0.2258,0.0465,14.448972654951945,,47.13000000000005,40.28272535609358,3767.0
35,Ada,16001010201,0.089,0.1863,0.125,0.1684,0.2652,24.31052347726972,,50.670000000000016,44.46891633236535,6196.0
36,Ada,16001010221,0.014,0.086,0.186,0.0967,0.0752,81.43557139059905,,40.77000000000004,35.82776840754062,4051.0
37,Ada,16001010222,0.15,0.1935,0.179,0.2939,0.3476,61.82901206323758,,41.31,38.41762361804229,8177.0
38,Ada,16001010223,0.107,0.0358,0.121,0.2114,0.4121,70.633330396539,,43.110000000000014,37.774435809923865,4093.0
39,Ada,16001010310,0.075,0.0286,0.175,0.1827,0.3261,82.38991414378383,,39.110000000000014,35.64797945781183,17019.0
40,Ada,16001010313,0.096,0.1792,0.046,0.0896,0.4444,66.98362598853811,,40.870000000000005,37.32594357583282,13013.0
41,Ada,16001010321,0.501,0.6702,0.275,0.4301,0.6021,36.067921945784754,,40.870000000000005,40.14484040730744,4784.0
42,Ada,16001010322,0.512,0.5412,0.265,0.6845,0.5232,44.43439894040915,,40.29000000000002,38.968741619788894,4564.0
43,Ada,16001010331,0.068,0.1075,0.064,0.1792,0.3512,72.26152365402085,,39.93000000000001,36.49771844432266,13024.0
44,Ada,16001010332,0.279,0.2544,0.29,0.5125,0.3942,65.26433080691496,,39.49000000000001,36.77623141593941,7570.0
45,Ada,16001010333,0.193,0.2974,0.05,0.301,0.5268,61.70850529514156,,39.71000000000004,38.643558078521565,7203.0
46,Ada,16001010401,0.351,0.215,0.458,0.4516,0.4731,71.44149131646518,,39.29000000000002,35.93110994438423,12356.0
47,Ada,16001010402,0.186,0.0322,0.487,0.1541,0.4874,68.2295567704005,,42.49000000000001,37.13570759495333,7105.0
48,Ada,16001010501,0.458,0.4731,0.587,0.0035,0.8387,8.982518930874944,,52.35000000000002,46.80183429965717,5109.0
49,Ada,16001010502,0.222,0.2258,0.236,0.2186,0.6093,0.9472125626676372,,55.23000000000002,46.99320087062173,6801.0
50,Adams,16003950100,0.455,0.2652,0.899,0.4623,0.2544,94.4515810310302,,38.21000000000004,24.538544778378085,1344.0
51,Adams,16003950200,0.376,0.2939,0.681,0.5161,0.1756,63.04133118746126,,51.150000000000034,29.796236206149693,1707.0
52,Bannock,16005000100,0.795,0.2401,0.985,0.7956,0.7706,54.66533271405845,,44.370000000000005,34.00575774521583,1645.0
53,Bannock,16005000200,0.028,0.025,0.24,0.1433,0.1326,63.95708021393054,,43.85000000000002,36.73263347575205,2972.0
54,Bannock,16005000300,0.928,0.9139,0.863,0.9354,0.5591,40.27421771567138,,40.53000000000003,35.99267649745541,7225.0
55,Bannock,16005000400,0.247,0.043,0.62,0.1577,0.5412,66.08125895347067,,37.51000000000005,33.95752436647183,4321.0
56,Bannock,16005000500,0.007,0.0215,0.215,0.1039,0.0071,72.054218802817,,39.13000000000005,33.88909438587512,1483.0
57,Bannock,16005000600,0.781,0.8817,0.802,0.4802,0.5806,10.411138219421266,,44.77000000000004,40.70963425901905,2714.0
58,Bannock,16005000700,0.304,0.706,0.523,0.1218,0.1648,28.803287805718668,,42.23000000000002,38.86979951011523,3425.0
59,Bannock,16005000800,0.648,0.9713,0.91,0.025,0.4623,15.274737488428071,,40.610000000000014,38.0638485447867,2184.0
60,Bannock,16005000900,0.702,0.7598,0.978,0.4157,0.4086,19.404011148421414,,40.05000000000001,35.62984410185349,1733.0
61,Bannock,16005001000,0.365,0.3369,0.394,0.5017,0.4193,17.64588737344152,,35.47000000000003,32.34850787766453,2526.0
62,Bannock,16005001101,0.064,0.1146,0.168,0.1146,0.2974,16.50034515873478,,42.410000000000025,37.55861614351369,5806.0
63,Bannock,16005001102,0.573,0.5627,0.731,0.5627,0.3189,12.378026450378044,,42.650000000000034,33.75609093472884,3043.0
